p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
pulse	lymph					-0.0215	0.5302	1.0203	0.0129	0.0977	0.0103
pulse	mono	0.363	2.0124	0.1804	0.8568	0.1729	0.5328	1.0104	0.0139	0.0814	0.0104
pulse	neut					-0.7117	0.543	1.028	0.0122	0.0774	0.0105
pulse	plt	0.8063	1.2299	0.6556	0.5121	0.4666	0.5916	1.0	0.0142	0.0654	0.0096
pulse	sbp	-0.1649	0.6482	-0.2545	0.7991	1.105	0.446	0.9865	0.0129	0.1259	0.01
pulse	smoke										
pulse	triglycerides	0.5609	0.9195	0.6101	0.5418	0.5145	0.4428	1.0016	0.0126	0.0605	0.0094
pulse	ua					-0.3896	0.5124	1.0175	0.0154	0.0119	0.011
pulse	waist	1.4843	1.8933	0.784	0.4331	0.5638	0.6385	0.9971	0.0142	0.0101	0.0087
pulse	wbc					-0.9144	0.5375	1.0344	0.0121	0.1085	0.0113
rbc	alt					-1.029	0.5813	1.0274	0.0133	0.1952	0.0091
rbc	creatinine					0.0621	0.5271	1.0078	0.0149	0.0652	0.0091
rbc	dbp					0.8552	0.4356	0.9885	0.0124	0.183	0.0094
rbc	drink										
rbc	eos					0.2431	0.769	0.9983	0.0187	0.0889	0.0094
rbc	glucose					0.0051	0.47	1.0086	0.0136	0.0868	0.01
rbc	hb					0.2042	0.5233	0.9988	0.013	0.6661	0.0115
rbc	hdl					-0.4632	0.4337	1.0215	0.0125	-0.0989	0.0102
rbc	height					0.3614	0.5811	0.9933	0.015	-0.0262	0.0088
rbc	ldl					-0.2165	0.4622	1.0063	0.0155	0.1247	0.0098
rbc	mono					0.1729	0.5328	1.0104	0.0139	0.1186	0.0101
rbc	plt					0.4666	0.5916	1.0	0.0142	0.0853	0.0095
rbc	sbp					1.105	0.446	0.9865	0.0129	0.1491	0.0094
rbc	smoke										
rbc	wbc					-0.9144	0.5375	1.0344	0.0121	0.1954	0.0094
sbp	alt					-1.029	0.5813	1.0274	0.0133	0.1074	0.0101
sbp	creatinine										
sbp	glucose										
