p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
eos	wbc	0.3292	0.0302	10.8932	1.2419e-27	0.207	0.0198	1.1524	0.056	0.3073	0.0185
ggt	alt	0.2723	0.1444	1.8859	0.0593	0.5	0.3656	0.9623	0.2696	0.5896	0.0198
ggt	ast					-0.2011	0.2859	1.4646	0.4446	0.4095	0.0154
ggt	bmi	0.25	0.0272	9.2024	3.4993e-20	0.2762	0.0198	1.0439	0.0549	0.3038	0.0177
ggt	bun					-0.6224	1.2578	0.8832	0.7612	0.0099	0.0131
ggt	creatinine	-0.051	0.0267	-1.9114	0.0559	0.2325	0.0558	1.0298	0.1575	-0.0409	0.0145
ggt	dbp	0.1839	0.0207	8.8964	5.7668e-19	0.1608	0.0182	1.0141	0.0501	0.1708	0.0138
ggt	drink	-0.086	0.0622	-1.3833	0.1666	0.0193	0.0032	1.0289	0.0109	0.0025	0.0145
ggt	eos	0.039	0.0206	1.8988	0.0576	0.2507	0.0315	1.0352	0.0852	0.0634	0.0133
ggt	glucose	0.1368	0.1154	1.1857	0.2357	0.1448	0.19	0.6784	0.6682	0.1169	0.0187
ggt	hb	0.1201	0.0552	2.1767	0.0295	0.2597	0.147	1.3189	0.4582	0.1473	0.0141
